code,sector
2135,PLT
7501,PLT
5138,PLT
2607,PLT
0253,PLT
6262,PLT
1961,PLT
5323,PLT
4383,PLT
2445,PLT
2453,PLT
5027,PLT
1996,PLT
0189,PLT
5026,PLT
5319,PLT
2038,PLT
9695,PLT
5113,PLT
2542,PLT
2569,PLT
5285,PLT
4316,PLT
5126,PLT
5135,PLT
5012,PLT
2054,PLT
5112,PLT
9059,PLT
2593,PLT
2089,PLT
7131,PRP
7007,PRP
4057,PRP
5182,PRP
2305,PRP
5329,PRP
6602,PRP
6173,PRP
6378,PRP
9814,PRP
3239,PRP
5738,PRP
6718,PRP
5049,PRP
7198,PRP
3417,PRP
3557,PRP
8206,PRP
6076,PRP
8613,PRP
6815,PRP
5283,PRP
6041,PRP
5020,PRP
9962,PRP
1147,PRP
0452,PRP
1503,PRP
7105,PRP
5062,PRP
4251,PRP
5084,PRP
9687,PRP
5606,PRP
5249,PRP
1589,PRP
8923,PRP
6769,PRP
7323,PRP
7077,PRP
5038,PRP
0308,PRP
3174,PRP
8494,PRP
5789,PRP
3573,PRP
7617,PRP
8583,PRP
6181,PRP
5236,PRP
4022,PRP
1694,PRP
5223,PRP
5040,PRP
8141,PRP
6114,PRP
8893,PRP
1651,PRP
9539,PRP
3913,PRP
5073,PRP
5827,PRP
5053,PRP
1724,PRP
6912,PRP
4464,PRP
7055,PRP
5075,PRP
7010,PRP
5313,PRP
7765,PRP
4596,PRP
5207,PRP
2224,PRP
4286,PRP
6017,PRP
5288,PRP
7249,PRP
5315,PRP
4375,PRP
8664,PRP
3743,PRP
1538,PRP
2259,PRP
5191,PRP
2429,PRP
0230,PRP
7889,PRP
5239,PRP
5401,PRP
7079,PRP
5148,PRP
5200,PRP
7003,PRP
3158,PRP
7066,PRP
5116,REI
5269,REI
5307,REI
5120,REI
5127,REI
5130,REI
5106,REI
5180,REI
5121,REI
5299,REI
5227,REI
5280,REI
5310,REI
5235,REI
5338,REI
5212,REI
5123,REI
5176,REI
5111,REI
5110,REI
5109,REI
0328,TEC
0276,TEC
0181,TEC
0209,TEC
0079,TEC
